"US"	3378019	"DRUG INEFFECTIVE"	254097
"US"	3378019	"NAUSEA"	148032
"US"	3378019	"FATIGUE"	143039
"US"	3378019	"HEADACHE"	123391
"US"	3378019	"DEATH"	118349
"UNITED STATES"	1752965	"DRUG INEFFECTIVE"	94775
"UNITED STATES"	1752965	"NAUSEA"	93358
"UNITED STATES"	1752965	"HEADACHE"	64714
"UNITED STATES"	1752965	"FATIGUE"	62741
"UNITED STATES"	1752965	"PAIN"	60824
"COUNTRY NOT SPECIFIED"	398614	"INJECTION SITE PAIN"	26456
"COUNTRY NOT SPECIFIED"	398614	"DRUG INEFFECTIVE"	23437
"COUNTRY NOT SPECIFIED"	398614	"DEATH"	19949
"COUNTRY NOT SPECIFIED"	398614	"FATIGUE"	18728
"COUNTRY NOT SPECIFIED"	398614	"MYOCARDIAL INFARCTION"	18170
"GB"	185309	"DEATH"	14408
"GB"	185309	"MALAISE"	9447
"GB"	185309	"FATIGUE"	8171
"GB"	185309	"DYSPNOEA"	7525
"GB"	185309	"NAUSEA"	7291
"JP"	141677	"PYREXIA"	6198
"JP"	141677	"INTERSTITIAL LUNG DISEASE"	4813
"JP"	141677	"PLATELET COUNT DECREASED"	4738
"JP"	141677	"ANAEMIA"	4661
"JP"	141677	"PNEUMONIA"	4364
"UNITED KINGDOM"	107061	"DRUG INTERACTION"	3883
"UNITED KINGDOM"	107061	"DYSPNOEA"	3727
"UNITED KINGDOM"	107061	"MALAISE"	3491
"UNITED KINGDOM"	107061	"VOMITING"	3408
"UNITED KINGDOM"	107061	"NAUSEA"	3250
"FR"	106372	"PYREXIA"	3338
"FR"	106372	"OFF LABEL USE"	3280
"FR"	106372	"DIARRHOEA"	3252
"FR"	106372	"ANAEMIA"	3248
"FR"	106372	"ACUTE KIDNEY INJURY"	3038
"CA"	103999	"DRUG INEFFECTIVE"	8689
"CA"	103999	"DEATH"	8469
"CA"	103999	"FATIGUE"	6579
"CA"	103999	"NAUSEA"	5641
"CA"	103999	"DYSPNOEA"	5213
"JAPAN"	103120	"PYREXIA"	5821
"JAPAN"	103120	"HEPATIC FUNCTION ABNORMAL"	4136
"JAPAN"	103120	"INTERSTITIAL LUNG DISEASE"	3817
"JAPAN"	103120	"PLATELET COUNT DECREASED"	3535
"JAPAN"	103120	"PNEUMONIA"	3231
"DE"	90819	"DEATH"	3179
"DE"	90819	"DYSPNOEA"	2914
"DE"	90819	"NAUSEA"	2868
"DE"	90819	"FATIGUE"	2473
"DE"	90819	"DIARRHOEA"	2461
